0  -20.32  0    715.932  60.5181
0  -10.16  0    716.794  153.051
0  20.32  0    723.716  422.695
10.16  -20.32  0    623.215  62.5204
0  0  0    718.442  243.899
0  10.16  0    720.888  333.589
10.16  -10.16  0    624.912  153.506
20.32  -20.32  0    533.754  64.0624
10.16  10.16  0    629.681  331.192
10.16  20.32  0    632.854  418.676
20.32  -10.16  0    536.205  153.764
30.48  -20.32  0    446.907  65.3849
81.28  -20.32  0    35.4669  66.559
40.64  -20.32  0    362.126  66.1422
20.32  10.16  0    541.964  329.009
20.32  20.32  0    545.425  415.3
50.8  -20.32  0    278.984  66.6329
81.28  20.32  0    58.6173  401.431
30.48  0  0    453.38  241.119
40.64  -10.16  0    366.082  153.911
81.28  -10.16  0    42.1781  152.124
60.96  -20.32  0    197.044  67.0305
71.12  -20.32  0    116.113  67.0146
30.48  20.32  0    460.599  412.227
50.8  -10.16  0    283.6  153.723
60.96  -10.16  0    202.336  153.36
50.8  0  0    288.114  239.235
81.28  10.16  0    53.879  319.17
40.64  10.16  0    373.863  325.052
71.12  -10.16  0    122.101  152.807
81.28  0  0    48.2729  236.212
40.64  20.32  0    377.666  409.425
50.8  10.16  0    292.375  323.415
71.12  20.32  0    137.277  402.999
50.8  20.32  0    296.554  406.999
60.96  10.16  0    212.033  321.768
60.96  20.32  0    216.379  404.914
30.48  -10.16  0    450  154.008
30.48  10.16  0    456.857  327.012
40.64  0  0    369.867  240.17
60.96  0  0    207.307  238.156
71.12  0  0    127.543  237.248
71.12  10.16  0    132.735  320.498

