style	type	camera	label	index	x	y	z	p_wt	sx	sy	sz	s_wt	nx	ny	nz	n_wt	rad	r_wt
0 1 1 0 0	   0.00000  -40.95750    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 1 1	   0.00000  -30.48000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 2 2	   0.00000  -20.32000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 3 3	   0.00000  -10.16000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 4 4	   0.00000    0.00000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 5 5	   0.00000   10.16000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 6 6	   0.00000   20.32000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 7 7	   0.00000   30.48000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 8 8	   0.00000   40.64000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 10 10	  10.16000  -40.95750    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 11 11	  10.16000  -30.48000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 12 12	  10.16000  -20.32000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 13 13	  10.16000  -10.16000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 14 14	  10.16000    0.00000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 15 15	  10.16000   10.16000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 16 16	  10.16000   20.32000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 17 17	  10.16000   30.48000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 18 18	  10.16000   40.64000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 20 20	  20.32000  -40.95750    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 21 21	  20.32000  -30.48000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 22 22	  20.32000  -20.32000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 23 23	  20.32000  -10.16000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 24 24	  20.32000    0.00000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 25 25	  20.32000   10.16000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 26 26	  20.32000   20.32000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 27 27	  20.32000   30.48000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 28 28	  20.32000   40.64000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 30 30	  30.48000  -40.95750    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 31 31	  30.48000  -30.48000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 32 32	  30.48000  -20.32000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 33 33	  30.48000  -10.16000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 34 34	  30.48000    0.00000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 35 35	  30.48000   10.16000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 36 36	  30.48000   20.32000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 37 37	  30.48000   30.48000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 38 38	  30.48000   40.64000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 40 40	  40.64000  -40.95750    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 41 41	  40.64000  -30.48000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 42 42	  40.64000  -20.32000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 43 43	  40.64000  -10.16000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 44 44	  40.64000    0.00000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 45 45	  40.64000   10.16000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 46 46	  40.64000   20.32000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 47 47	  40.64000   30.48000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 48 48	  40.64000   40.64000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 50 50	  50.80000  -40.95750    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 51 51	  50.80000  -30.48000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 52 52	  50.80000  -20.32000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 53 53	  50.80000  -10.16000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 54 54	  50.80000    0.00000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 55 55	  50.80000   10.16000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 56 56	  50.80000   20.32000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 57 57	  50.80000   30.48000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 58 58	  50.80000   40.64000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 60 60	  60.96000  -40.95750    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 61 61	  60.96000  -30.48000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 62 62	  60.96000  -20.32000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 63 63	  60.96000  -10.16000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 64 64	  60.96000    0.00000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 65 65	  60.96000   10.16000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 66 66	  60.96000   20.32000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 67 67	  60.96000   30.48000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 68 68	  60.96000   40.64000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 1 70 70	  71.12000  -40.95750    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
