style	type	camera	label	index	x	y	z	p_wt	sx	sy	sz	s_wt	nx	ny	nz	n_wt	rad	r_wt
0 1 4 0 0	   0.00000  -40.95750    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 4 1 1	   0.00000  -30.48000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 4 2 2	   0.00000  -20.32000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 4 3 3	   0.00000  -10.16000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 4 4 4	   0.00000    0.00000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 4 5 5	   0.00000   10.16000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 4 6 6	   0.00000   20.32000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 4 7 7	   0.00000   30.48000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 4 8 8	   0.00000   40.64000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 4 10 10	  10.16000  -40.95750    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 4 11 11	  10.16000  -30.48000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 4 12 12	  10.16000  -20.32000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 4 13 13	  10.16000  -10.16000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
0 1 4 14 14	  10.16000    0.00000    0.00000    1.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000    0.00000    0.00000	   0.00000    0.00000
