10.16  20.32  0    651.967  439.494
10.16  10.16  0    655.093  341.985
20.32  20.32  0    555.926  435.513
10.16  -20.32  0    668.689  57.9463
10.16  -10.16  0    663.407  152.016
20.32  10.16  0    559.92  339.845
30.48  20.32  0    463.366  432.251
20.32  -10.16  0    569.177  152.876
20.32  -20.32  0    574.461  60.5189
40.64  20.32  0    373.427  429.479
30.48  0  0    472.994  245.306
50.8  20.32  0    285.484  427.159
40.64  10.16  0    378.836  336.311
30.48  -20.32  0    483.567  62.6145
71.12  20.32  0    113.631  423.7
60.96  20.32  0    198.999  425.254
50.8  10.16  0    291.717  334.949
40.64  -10.16  0    389.854  154.319
40.64  -20.32  0    395.407  64.32
50.8  0  0    297.682  244.302
60.96  10.16  0    205.993  333.721
50.8  -10.16  0    303.507  154.776
50.8  -20.32  0    309.269  65.7083
81.28  -20.32  0    58.3642  68.3175
60.96  -10.16  0    218.733  155.142
60.96  -20.32  0    224.681  66.8751
71.12  -20.32  0    141.186  67.7472
71.12  -10.16  0    135.006  155.32
30.48  10.16  0    468.042  337.934
30.48  -10.16  0    478.17  153.726
40.64  0  0    384.368  244.772
71.12  10.16  0    121.259  332.663
60.96  0  0    212.361  243.84
71.12  0  0    128.463  243.458

